Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Greece,GRC,78.724,79.058,79.388,79.715,80.038,80.357
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Hong Kong SAR, China",HKG,100,100,100,100,100,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,India,IND,33.6,34.03,34.472,34.926,35.393,35.872
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Indonesia,IDN,54.659,55.325,55.985,56.641,57.29,57.934
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Iran, Islamic Rep.",IRN,74.394,74.898,75.391,75.874,76.345,76.807
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Iraq,IRQ,70.278,70.473,70.678,70.893,71.119,71.354
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Jordan,JOR,90.747,90.979,91.203,91.418,91.626,91.827
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kazakhstan,KAZ,57.336,57.428,57.54,57.671,57.821,57.99
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kenya,KEN,26.562,27.03,27.507,27.995,28.493,29.002
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Kyrgyz Republic,KGZ,36.135,36.351,36.591,36.856,37.146,37.461
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Libya,LBY,79.817,80.102,80.393,80.691,80.994,81.302
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Macao SAR, China",MAC,100,100,100,100,100,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Malaysia,MYS,75.447,76.036,76.607,77.16,77.696,78.214
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Maldives,MDV,39.38,39.808,40.238,40.669,41.102,41.536
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mexico,MEX,79.867,80.156,80.444,80.731,81.016,81.3
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mongolia,MNG,68.363,68.445,68.543,68.657,68.785,68.93
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Morocco,MAR,61.908,62.453,62.994,63.532,64.065,64.596
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Myanmar,MMR,30.322,30.579,30.852,31.141,31.448,31.771
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Netherlands,NLD,91.077,91.49,91.876,92.236,92.572,92.886
Urban population (% of total population),SP.URB.TOTL.IN.ZS,New Zealand,NZL,86.466,86.538,86.615,86.699,86.789,86.884
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Nigeria,NGA,49.519,50.344,51.157,51.958,52.746,53.521
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Northern Mariana Islands,MNP,91.53,91.618,91.708,91.798,91.89,91.983
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pakistan,PAK,36.442,36.666,36.907,37.165,37.44,37.731
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Peru,PER,77.72,77.907,78.099,78.297,78.5,78.708
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Philippines,PHL,46.682,46.907,47.149,47.408,47.684,47.977
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Puerto Rico (US),PRI,93.587,93.578,93.576,93.581,93.592,93.61
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Romania,ROU,53.936,53.998,54.084,54.194,54.329,54.489
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Russian Federation,RUS,74.292,74.433,74.587,74.754,74.934,75.126
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Serbia,SRB,55.942,56.092,56.26,56.446,56.651,56.873
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Singapore,SGP,100,100,100,100,100,100
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Slovak Republic,SVK,53.751,53.726,53.729,53.76,53.82,53.909
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Thailand,THA,49.2,49.949,50.692,51.43,52.163,52.889
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tunisia,TUN,68.642,68.945,69.254,69.568,69.888,70.214
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Turkiye,TUR,74.644,75.143,75.63,76.105,76.569,77.022
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ukraine,UKR,69.246,69.352,69.473,69.608,69.757,69.919
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United Kingdom,GBR,83.143,83.398,83.652,83.903,84.152,84.398
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United States,USA,82.058,82.256,82.459,82.664,82.873,83.084
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Uruguay,URY,95.24,95.334,95.426,95.515,95.603,95.688
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Uzbekistan,UZB,50.55,50.478,50.433,50.416,50.427,50.466
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Zimbabwe,ZWE,32.237,32.209,32.21,32.242,32.303,32.395
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Africa Eastern and Southern,AFE,35.3962894579202,35.8933979262181,36.384272287815,36.8840344817359,37.3936325291716,37.9090120211832
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Africa Western and Central,AFW,46.0941365580819,46.7097526162217,47.3226173576126,47.9310209575797,48.5319710590464,49.1298079868363
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Arab World,ARB,57.8627472124114,58.0104842292073,58.2045421060528,58.4966741305089,58.6629266021441,59.0542670171409
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Caribbean small states,CSS,48.4023208037305,48.3598060566405,48.3740566861139,48.4789384076252,48.5521210245119,48.6529372671664
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Central Europe and the Baltics,CEB,62.2153791390802,62.2947407041374,62.3925547365605,62.5213419275711,62.6535671301718,62.835931596872
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Early-demographic dividend,EAR,44.6014670203505,44.9830331970367,45.3762640144949,45.7878149257313,46.185409692723,46.6251546023672
Urban population (% of total population),SP.URB.TOTL.IN.ZS,East Asia & Pacific,EAS,58.1765611121294,59.0346049837374,59.8725583443197,60.6822345154889,61.4594002340012,62.2257312651105
Urban population (% of total population),SP.URB.TOTL.IN.ZS,East Asia & Pacific (excluding high income),EAP,54.6759933117768,55.6392400876998,56.5760210675401,57.4845396808942,58.3655369003636,59.2214841637791
Urban population (% of total population),SP.URB.TOTL.IN.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,54.5887621075747,55.5614585448153,56.5071002716161,57.4239114272433,58.3126038346384,59.1757435746239
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Euro area,EMU,76.5414998212393,76.7633481741657,76.9997231691574,77.2349813593651,77.4716240507127,77.7126830118197
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Europe & Central Asia,ECS,71.987006547281,72.1787895688215,72.378819157659,72.5846286655557,72.7998575512773,73.0396201290606
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Europe & Central Asia (excluding high income),ECA,63.0728825951758,63.3013485933657,63.5381802571839,63.7631153787727,63.9919790909835,64.169725876266
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,66.1211888619255,66.2842724108461,66.4578157383552,66.6377675914124,66.8270365388467,67.0058080559943
Urban population (% of total population),SP.URB.TOTL.IN.ZS,European Union,EUU,74.3137180838517,74.5212870645992,74.7405842986022,74.9759872159918,75.2201807496595,75.4620574704142
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Fragile and conflict affected situations,FCS,42.5843185313941,42.927213828579,43.2680779543801,43.6394229966267,44.0421070914078,44.401646495307
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Heavily indebted poor countries (HIPC),HPC,35.6246731078244,36.0931323349764,36.5663214736184,37.0465389661088,37.5368693810027,38.0398695478936
Urban population (% of total population),SP.URB.TOTL.IN.ZS,High income,HIC,79.9779465106785,80.1568320346379,80.3466412738277,80.5443858638507,80.732211145294,80.941962138335
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IBRD only,IBD,54.4730525266222,55.0771234775401,55.6730186862018,56.2572383997406,56.8369027884104,57.4051949405733
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA & IBRD total,IBT,49.7713538751917,50.301080152151,50.8211355459862,51.3285959695125,51.8301784271447,52.3261779252217
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA blend,IDB,42.094267862311,42.568372249278,43.0461551836081,43.526580341856,44.0111666695768,44.5056762549498
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA only,IDX,33.2541343513233,33.7704062246334,34.2901441341824,34.8127799417597,35.3417682738071,35.8907865413649
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA total,IDA,36.3728522356199,36.8687600281853,37.3669945784169,37.8684932787533,38.3770927534876,38.9024403010933
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Late-demographic dividend,LTE,61.5196324604483,62.3774263489862,63.218154758505,64.0329696631862,64.8181558739638,65.6035316403987
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latin America & Caribbean,LCN,80.3801642315254,80.6138689467709,80.8488679958605,81.0877969256887,81.3272280767858,81.5649153564557
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latin America & Caribbean (excluding high income),LAC,79.8363374785181,80.1027920682901,80.3673865463117,80.6299945481019,80.8894314614173,81.1442610510058
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,80.3667891384065,80.607740795928,80.8468332516826,81.0901657049533,81.3334320955924,81.5750058081646
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Least developed countries: UN classification,LDC,33.1242640987107,33.6667279661463,34.2024920969837,34.7409228785313,35.2890728691293,35.8497135775292
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Low & middle income,LMY,49.3618130264144,49.9317364027109,50.4910880268035,51.0358692115089,51.5727352221803,52.1006417998491
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Low income,LIC,34.8821585032487,35.308896471579,35.7448254230166,36.1918388913868,36.6549434168564,37.1420380582929
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Lower middle income,LMC,37.9970008869979,38.468823695992,38.9483291953,39.4369727928763,39.9377220240325,40.4516375248882
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Middle East, North Africa, Afghanistan & Pakistan",MEA,53.7232256564093,53.9242829286333,54.1425070359765,54.4074384854235,54.5928225800166,54.9664853093317
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,50.5591949528696,50.8132407261623,51.0649270322676,51.3116626769768,51.5827288533319,51.8947837283828
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,50.3861773229215,50.6387662527733,50.8890037110978,51.1342115026343,51.4038422701024,51.7147486556237
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle income,MIC,50.6985080182169,51.3049706292102,51.901711293326,52.4827584151325,53.0542232962802,53.6143634433195
Urban population (% of total population),SP.URB.TOTL.IN.ZS,North America,NAC,81.9899052280505,82.1734280782901,82.3621587015054,82.5536546891323,82.7500386541762,82.9479010196301
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Not classified,INX,..,..,..,..,..,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,OECD members,OED,80.4018750480224,80.6055820250279,80.8158684349034,81.032765332463,81.2513148285264,81.4656772954836
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Other small states,OSS,54.3571454093448,54.6048276212629,54.8602862593732,55.0796303402671,55.271772715976,55.5597027670278
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pacific island small states,PSS,38.279362098949,38.4317318565749,38.6080266824363,38.8185116377361,39.0380810941031,39.2714686784769
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Post-demographic dividend,PST,81.1033317671139,81.2842182278933,81.4749496268461,81.6627037423207,81.84936028332,82.0738786885386
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pre-demographic dividend,PRE,40.8948351996284,41.4439041161344,41.9842362316093,42.5266498156658,43.0789350226666,43.6418701367517
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Small states,SST,50.8398892098627,51.0083743010062,51.2028404507959,51.4005017222283,51.5703651137917,51.8158557665979
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Asia,SAS,33.3760521966301,33.8381523535219,34.3092492591791,34.7891559819959,35.2793706823099,35.7853207636492
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Asia (IDA & IBRD),TSA,33.3760521966301,33.8381523535219,34.3092492591791,34.7891559819959,35.2793706823099,35.7853207636492
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa,SSF,39.7596127978553,40.2998165075392,40.8329525970643,41.3686297861541,41.9076431495083,42.4493969365686
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (excluding high income),SSA,41.9542528601209,42.5054254418557,43.0487084912522,43.5952496876917,44.1445513751237,44.6956889472847
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,39.7596127978553,40.2998165075392,40.8329525970643,41.3686297861541,41.9076431495083,42.4493969365686
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Upper middle income,UMC,63.950715773199,64.787702639662,65.6044451357591,66.395677535933,67.1643769563542,67.9126119225171
Urban population (% of total population),SP.URB.TOTL.IN.ZS,World,WLD,54.6501253213613,55.0928852332806,55.5315178075519,55.9623738261611,56.3752739801048,56.815715402616
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Armenia,ARM,63.103,63.149,63.219,63.313,63.431,63.573
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Guatemala,GTM,50.68,51.054,51.439,51.836,52.245,52.666
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Korea, Dem. People's Rep.",PRK,61.678,61.899,62.134,62.381,62.642,62.916
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Venezuela, RB",VEN,88.183,88.208,88.24,88.279,88.325,88.378
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Viet Nam,VNM,35.213,35.919,36.628,37.34,38.052,38.766
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Japan,JPN,91.535,91.616,91.698,91.782,91.867,91.955
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Lebanon,LBN,88.429,88.593,88.758,88.925,89.093,89.262
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Nicaragua,NIC,58.299,58.522,58.76,59.012,59.277,59.556
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tajikistan,TJK,26.982,27.134,27.309,27.506,27.726,27.968
Urban population (% of total population),SP.URB.TOTL.IN.ZS,wvs_25,(wvs_25),..,..,..,..,..,..
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 10/07/2025,,,,,,,,,
